time_s,event_type,profile_idx,download_ms,throughput_bps,buffer_s,description
0.000,rebuffer_start,3,0.00,0,0.00,Buffer underrun
2.083,download,3,2083.24,1450221,2.00,Profile 1400 kbps
2.083,profile_change,2,0.00,0,2.00,1400 -> 750 kbps
3.946,download,2,1863.05,812767,2.14,Profile 750 kbps
3.946,profile_change,1,0.00,0,2.14,750 -> 375 kbps
5.940,download,1,1993.56,365742,2.14,Profile 375 kbps
5.940,profile_change,0,0.00,0,2.14,375 -> 235 kbps
7.852,download,0,1912.30,252751,2.23,Profile 235 kbps
9.612,download,0,1760.08,222094,2.47,Profile 235 kbps
11.486,download,0,1874.07,222570,2.60,Profile 235 kbps
13.321,download,0,1835.14,257925,2.76,Profile 235 kbps
15.216,download,0,1894.84,247852,2.87,Profile 235 kbps
17.138,download,0,1922.03,264899,2.94,Profile 235 kbps
18.917,download,0,1778.47,234881,3.17,Profile 235 kbps
20.744,download,0,1827.62,241035,3.34,Profile 235 kbps
22.875,download,0,2130.21,221984,3.21,Profile 235 kbps
24.698,download,0,1823.45,250681,3.39,Profile 235 kbps
26.489,download,0,1790.49,299645,3.59,Profile 235 kbps
28.316,download,0,1827.89,272857,3.77,Profile 235 kbps
30.229,download,0,1912.82,196928,3.85,Profile 235 kbps
32.191,download,0,1962.19,240703,3.89,Profile 235 kbps
33.943,download,0,1751.15,272855,4.14,Profile 235 kbps
35.856,download,0,1913.56,211392,4.23,Profile 235 kbps
37.653,download,0,1797.05,256883,4.43,Profile 235 kbps
39.547,download,0,1893.66,243166,4.54,Profile 235 kbps
41.673,download,0,2125.73,236018,4.41,Profile 235 kbps
43.269,download,0,1596.06,322790,4.81,Profile 235 kbps
45.151,download,0,1882.77,230303,4.93,Profile 235 kbps
47.076,download,0,1925.07,237249,5.01,Profile 235 kbps
48.930,download,0,1853.99,216450,5.15,Profile 235 kbps
50.612,download,0,1681.41,267718,5.47,Profile 235 kbps
52.440,download,0,1828.41,271803,5.64,Profile 235 kbps
54.471,download,0,2030.44,197443,5.61,Profile 235 kbps
56.577,download,0,2106.21,239695,5.51,Profile 235 kbps
58.411,download,0,1834.25,283333,5.67,Profile 235 kbps
60.274,download,0,1863.18,252051,5.81,Profile 235 kbps
62.179,download,0,1904.68,227461,5.90,Profile 235 kbps
63.842,download,0,1662.62,301380,6.24,Profile 235 kbps
65.695,download,0,1853.48,303584,6.39,Profile 235 kbps
67.498,download,0,1802.56,301140,6.59,Profile 235 kbps
69.478,download,0,1980.14,275803,6.61,Profile 235 kbps
71.388,download,0,1910.23,249331,6.70,Profile 235 kbps
73.294,download,0,1906.32,246321,6.79,Profile 235 kbps
75.202,download,0,1908.04,226976,6.88,Profile 235 kbps
77.006,download,0,1803.33,234074,7.08,Profile 235 kbps
78.972,download,0,1966.25,217942,7.11,Profile 235 kbps
80.933,download,0,1961.05,255509,7.15,Profile 235 kbps
82.774,download,0,1841.17,258354,7.31,Profile 235 kbps
84.808,download,0,2033.96,269067,7.28,Profile 235 kbps
86.483,download,0,1674.86,304923,7.60,Profile 235 kbps
88.301,download,0,1817.65,265464,7.78,Profile 235 kbps
90.210,download,0,1909.40,271860,7.87,Profile 235 kbps
92.190,download,0,1980.05,217162,7.89,Profile 235 kbps
93.910,download,0,1720.20,308774,8.17,Profile 235 kbps
95.806,download,0,1895.79,243377,8.28,Profile 235 kbps
97.714,download,0,1908.01,224846,8.37,Profile 235 kbps
99.613,download,0,1899.10,272192,8.47,Profile 235 kbps
101.372,download,0,1759.13,244261,8.71,Profile 235 kbps
103.243,download,0,1870.67,297601,8.84,Profile 235 kbps
105.021,download,0,1778.29,282302,9.06,Profile 235 kbps
106.739,download,0,1717.96,296537,9.34,Profile 235 kbps
108.597,download,0,1858.01,253962,9.49,Profile 235 kbps
110.497,download,0,1899.29,210049,9.59,Profile 235 kbps
112.435,download,0,1938.12,221791,9.65,Profile 235 kbps
114.181,download,0,1746.03,279972,9.90,Profile 235 kbps
116.232,download,0,2051.53,238835,9.85,Profile 235 kbps
117.952,download,0,1719.46,274212,10.13,Profile 235 kbps
119.745,download,0,1793.08,276694,10.34,Profile 235 kbps
121.470,download,0,1725.12,296764,10.61,Profile 235 kbps
123.589,download,0,2118.60,216562,10.49,Profile 235 kbps
125.304,download,0,1715.15,301445,10.78,Profile 235 kbps
127.132,download,0,1828.05,274794,10.95,Profile 235 kbps
129.071,download,0,1939.25,260187,11.01,Profile 235 kbps
130.871,download,0,1800.29,277319,11.21,Profile 235 kbps
132.601,download,0,1729.45,236376,11.48,Profile 235 kbps
134.580,download,0,1979.33,244490,11.50,Profile 235 kbps
136.286,download,0,1705.48,240613,11.80,Profile 235 kbps
138.094,download,0,1808.30,268084,11.99,Profile 235 kbps
139.722,download,0,1628.53,269607,12.36,Profile 235 kbps
141.713,download,0,1990.63,265954,12.37,Profile 235 kbps
143.379,download,0,1665.93,289252,12.70,Profile 235 kbps
145.083,download,0,1704.54,287927,13.00,Profile 235 kbps
