req_id,burst_idx,t_start_ms,duration_ms,bytes,gap_before_ms
1,0,166.439753,4.213938,1009,0.000000
1,1,434.627362,5.108916,1241,263.973671
1,2,615.518767,1.077585,1227,175.782489
1,3,821.443873,3.886971,1145,204.847520
1,4,989.494445,0.500000,1177,164.163602
1,5,1176.746635,1.612709,861,186.752190
1,6,1308.135940,1.902799,1224,129.776596
1,7,1473.439304,4.862764,2116,163.400566
2,0,150.361382,3.648749,2509,0.000000
2,1,410.071884,4.873688,2499,256.061752
2,2,593.873410,0.738633,3450,178.927837
2,3,743.912021,5.780661,2615,149.299979
2,4,882.223040,6.196909,3218,132.530357
2,5,1120.706108,1.952151,2429,232.286159
2,6,1331.150138,0.591563,2238,208.491879
2,7,1552.695340,2.111273,1042,220.953639
3,0,166.163820,1.179844,4511,0.000000
3,1,369.300577,1.918131,2941,201.956913
3,2,529.283319,3.638710,3374,158.064611
3,3,749.570221,5.698227,3249,216.648193
3,4,871.070230,2.132709,2725,115.801782
3,5,973.318672,0.500000,4745,100.115733
3,6,1157.405523,0.979184,4296,183.586851
3,7,1309.004469,6.139446,4159,150.619762
4,0,159.615508,6.300806,7232,0.000000
4,1,376.889672,1.443794,5093,210.973358
4,2,539.726543,5.412225,2284,161.393076
4,3,684.721711,4.376098,5792,139.582943
4,4,880.854795,2.535691,6286,191.756986
4,5,1086.788011,1.529153,3231,203.397525
4,6,1312.278882,2.383457,2852,223.961717
4,7,1462.634189,2.088796,7230,147.971850
5,0,187.555787,1.811494,5906,0.000000
5,1,378.815997,2.210257,5685,189.448716
5,2,603.955165,2.339596,5537,222.928911
5,3,755.739240,2.433498,9724,149.444480
5,4,926.584000,5.585516,6658,168.411262
5,5,1155.494771,6.464152,10421,223.325255
5,6,1340.874921,3.984120,3694,178.915998
5,7,1573.000053,2.126140,2375,228.141011
